sc的直播源,#genre#
CCTV1,https://itv.lat/hls?channel=CCTV-1H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV2,https://itv.lat/hls?channel=CCTV-2H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV3,https://itv.lat/hls?channel=CCTV-3H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV4,https://itv.lat/hls?channel=CCTV-4H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV5,https://live.0472.org/ysp/cctv5
CCTV5+,https://itv.lat/hls?channel=CCTV-5plusH265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV6,https://itv.lat/hls?channel=CCTV-6H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV7,https://itv.lat/hls?channel=CCTV-7H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV8,https://itv.lat/hls?channel=CCTV-8H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV9,https://itv.lat/hls?channel=CCTV-9H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV10,https://itv.lat/hls?channel=CCTV-10H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV11,https://itv.lat/hls?channel=CCTV-11H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV12,https://itv.lat/hls?channel=CCTV-12H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV13,https://itv.lat/hls?channel=CCTV-13H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV14,https://itv.lat/hls?channel=CCTV-14H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV15,https://itv.lat/hls?channel=CCTV-15H265&token=fbca23599065f5bd644b330db4e3b1f5
CCTV16,https://itv.lat/hls?channel=CCTV-16H265&token=fbca23599065f5bd644b330db4e3b1f5
